0.22	[0.3091753658658409, 0.5275460766195494, 0.4166666666666667, 0.710958535271944, 0.2457714603351068, 0.4193599618835861, 0.3858373721055466, 0.29429186860527734]
0.23	[0.3091301944625898, 0.528415657504648, 0.4141087775982768, 0.7078621432417879, 0.24661268339613565, 0.4215505491862423, 0.38287560581583197, 0.29375336564351107]
0.24	[0.3085963223747531, 0.5284433412694393, 0.41007000538502963, 0.7022078621432418, 0.247380817022659, 0.42361731503289207, 0.3780290791599354, 0.2921378567582122]
0.25	[0.30832738762613393, 0.5292019162164917, 0.4072428648357566, 0.6989768443726441, 0.24807282269968836, 0.42578317205182875, 0.37520193861066237, 0.29173397953688746]
0.26	[0.3067686149740853, 0.5286601323959562, 0.40239633817986, 0.6934571890145396, 0.24786466539514057, 0.4271498465876109, 0.3725094238018309, 0.2910608508346796]
0.27	[0.30633421093387025, 0.5294512415466419, 0.3994345718901454, 0.6903607969843835, 0.24843004270283847, 0.42937285439169387, 0.3695476575121163, 0.29092622509423804]
0.28	[0.3054530332172376, 0.5291885429120966, 0.3955304254173398, 0.6852450188476037, 0.24879329325091032, 0.4310271826572953, 0.36698976844372644, 0.28971459343026384]
0.29	[0.30373122612381603, 0.5286514207964834, 0.39068389876144316, 0.6799946149703824, 0.2484376337642325, 0.43241160859515454, 0.36348949919224555, 0.28931071620893917]
0.3	[0.30347368421052634, 0.5289473684210525, 0.38812600969305333, 0.6764943457189014, 0.24913584514344972, 0.4342378154165226, 0.36187399030694667, 0.28836833602584816]
0.31	[0.3022763366860773, 0.5276866066701958, 0.3843564889606893, 0.6709746903607969, 0.24908392950619437, 0.4348281277264003, 0.36012385568120625, 0.2866182014001077]
0.32	[0.3012195771422485, 0.5279863662991958, 0.3807215939687668, 0.6673397953688746, 0.24918495021587805, 0.43677857079918936, 0.3578352180936995, 0.2866182014001077]
0.33	[0.30159155457906867, 0.5283746851722845, 0.3788368336025848, 0.6637049003769521, 0.25051188462565654, 0.4388854268672661, 0.35420032310177707, 0.28486806677436727]
0.34	[0.2983353983731078, 0.5270699779130528, 0.3727786752827141, 0.6585891222401723, 0.24867534800179614, 0.43933542882801974, 0.3535271943995692, 0.2858104469574583]
0.35	[0.29526130517194693, 0.5253181695098835, 0.36698976844372644, 0.6529348411416263, 0.2469874059980067, 0.4394310048020295, 0.3519116855142703, 0.2859450726978998]
0.36	[0.2933841546419821, 0.524802613667302, 0.36268174474959614, 0.6487614431879375, 0.24631983176373778, 0.44061442808814116, 0.3507000538502962, 0.2860796984383414]
0.37	[0.2912898097900565, 0.5243655100586527, 0.35770059235325796, 0.6439149165320409, 0.2456773000462321, 0.4422561257512714, 0.3482767905223479, 0.286214324178783]
0.38	[0.2869286818282182, 0.5221903289909472, 0.34989229940764677, 0.6367797522886376, 0.2431699101796407, 0.44255239520958084, 0.34679590737749055, 0.2868874528809908]
0.39	[0.28428595234127646, 0.5211353663278343, 0.34450726978998386, 0.6315293484114163, 0.24198581560283688, 0.4435933806146572, 0.3442380183091007, 0.2870220786214324]
